項番,区分,診療行為名称,記載事項,コメントコード,表示文言,紙レセのみ,適用
167,Ｍ018,有床義歯,（残根上に義歯を装着した場合）残根上の義歯と記載すること。,820100356,残根上義歯ザンコンジョウギシ,,
168,M018-2,３次元プリント有床義歯ジゲンユウショウギシ,（残根上に義歯を装着した場合）残根上の義歯と記載すること。,820100356,残根上義歯,,※
169,Ｍ019,熱可塑性樹脂有床義歯等,（残根上に義歯を装着した場合）残根上義歯と記載すること。,820100356,残根上義歯ザンコンジョウギシ,,
170,M025,口蓋補綴、顎補綴コウガイホテツガクホテツ,「診療報酬の算定方法の一部改正に伴う実施上の留意事項について」別添２第２章第12部M025口蓋補綴、顎補綴の（１）のイからホまでに規定するものの中から該当するものを記載すること。コウガイホテツガクホテツ,820100384,イ　腫瘍、顎骨嚢胞等による顎骨切除に対する口蓋補綴装置又は顎補綴装置シュヨウトウガクコツセツジョタイコウガイホテツソウチマタガクホテツソウチ,,
171,Ｍ029,有床義歯修理,（新たに製作した有床義歯を装着した日から起算して６月以内に当該有床義歯の修理を行った場合）歯冠修復及び欠損補綴の「その他」欄に有床義歯の装着年月日を記載すること。,850100351,"有床義歯装着年月日；（元号）yy""年""mm""月""dd""日""",,
172,Ｍ029,有床義歯修理注４　歯科技工加算２チュウシカギコウカサン,（有床義歯修理において、歯科技工加算２を算定した場合）預かり日及び修理を行った当該有床義歯の装着日を記載すること。,850100353,"歯技工２（床修理）預かり年月日；（元号）yy""年""mm""月""dd""日""",,
173,Ｍ030,有床義歯内面適合法,（新たに製作した有床義歯を装着した日から起算して６月以内に当該有床義歯の有床義歯内面適合法を行った場合）歯冠修復及び欠損補綴の「その他」欄に有床義歯の装着年月日を記載すること。,850100351,"有床義歯装着年月日；（元号）yy""年""mm""月""dd""日""",,
174,Ｍ030,有床義歯内面適合法注５　歯科技工加算２,（有床義歯内面適合法において、歯科技工加算２を算定した場合）預かり日及び修理を行った当該有床義歯の装着日を記載すること。,850100355,"歯技工２（床裏装）預かり年月日；（元号）yy""年""mm""月""dd""日""",,
175,Ｍ041,広範囲顎骨支持型補綴物修理,（別の保険医療機関で装着された当該補綴物の修理を行った場合）装着を実施した保険医療機関名及び装着日（不明であれば装着時期）を記載すること。ホケン,830100430,特イ補装着保険医療機関名；******ホケン,,
176,M100,薬剤（歯冠修復及び欠損補綴）ヤクザイ,（生活歯歯冠形成を行い、区分番号M100により薬剤を算定する場合）歯冠修復及び欠損補綴の「その他」欄にその医薬品名、使用量を記載すること。セイカツハシカンケイセイオコナバンゴウ,医薬品コード,（医薬品名を表示。）,,※
177,M200,特定保険医療材料（歯冠修復及び欠損補綴）トクテイホケンイリョウザイリョウハカンムリシュウフクオヨケッソンホテツ,（区分番号M200により特定薬剤を算定する場合）歯冠修復及び欠損補綴の「その他」欄にその特定保険医療材料の総点数、名称及びセット数等を記載すること。,特定器材コード,（特定器材名を表示。）,,※
178,N,歯科矯正シカキョウセイ,歯科矯正相談料を前回算定した年月日を相談料の名称に併せて記載すること。ソウダンマエカイソウダンリョウ,850190275,"歯科矯正相談料１前回算定年月日；（元号）yy""年""mm""月""dd""日""ソウダンゼンカイ",,
179,Ｎ000,歯科矯正診断料,全体の「その他」欄に歯科矯正、動的処置、マルチブラケット法、保定の開始及び顎切除等の手術実施の区別を記載し、それぞれ最初の診断に係る記載とは別に前回歯科矯正診断料の算定年月日を記載すること。,820100785,歯科矯正開始,,
180,Ｎ001,顎口腔機能診断料,全体の「その他」欄に歯科矯正、動的処置、マルチブラケット法、保定の開始及び顎離断等の手術実施の区別（顎口腔機能診断料は顎離断等の手術を担当する連携保険医療機関名）を記載し、それぞれ最初の診断に係る記載とは別に前回顎口腔機能診断料の算定年月日を記載すること。リダン,820100785,歯科矯正開始,,
181,Ｎ002,歯科矯正管理料,全体の「その他」欄に算定年月日及び動的処置又はマルチブラケット法の開始の年月日を記載すること。,算定日情報,（算定日）サンテイビ,○,
182,Ｎ004,模型調整製　2　予測模型モケイチョウセイセイヨソクモケイ,全体の「その他」欄に予測歯数を記載すること。ヨソクハスウキサイ,842100064,模型調製（予測模型）予測歯数；******ハ,,
183,Ｎ005,動的処置,全体の「その他」欄に算定年月日及び動的処置又はマルチブラケット法の開始年月日を記載すること。,850100396,"動的処置算定年月日；（元号）yy""年""mm""月""dd""日""",,
184,Ｎ008-2,植立,（歯科矯正診断料又は顎口腔機能診断料を算定した保険医療機関からの依頼による場合）当該診断料を算定した保険医療機関名を記載すること。,830100433,歯科矯正診断料算定保険医療機関名；******シカキョウセイシンダンリョウサンテイホケンイリョウキカンメイ,,
185,Ｎ009,撤去テッキョ,（装置を撤去した場合）撤去の費用が算定できない場合であっても、全体の「その他」欄に撤去した装置の名称を記載すること。,830100435,撤去した装置の名称；******,,
186,N018,マルチブラケット装置ソウチ,（マルチブラケット装置（セクショナルアーチを行う場合を除く）を行う場合）全体の「その他」欄にステップ名及びそのステップにおける装置回数を上下顎別に記載すること。,830100767,マルチブラケット装置ステップ１（上顎）・装置数；******,,
187,N028,床装置修理ユカソウチシュウリ,（リンガルアーチにおいて、主線の前歯部分のみを再製作し、ろう着した場合）その旨を記載すること。シュセンマエバブブンサイセイサクギバアイムネキサイ,820101018,リンガルアーチ前歯部分の再製作マエバブブンサイセイサク,,
188,N100,特定保険医療材料（矯正）キョウセイ,（特定保険医療材料料において、装着材料、スクリュー、バンド、ブラケット、チューブ、矯正用線、不銹鋼、特殊鋼等を使用した場合）全体の「その他」欄に特定保険医療材料に掲げる名称を記載すること。,特定器材コード,（特定器材名を表示。）,○,
189,,長期収載品の選定療養に関する取扱い,（長期収載品について、選定療養の対象とはせずに、保険給付する場合（長期収載品について、後発医薬品への変更不可の処方箋を交付する場合を含む。））医療上必要があると認められる場合及び後発医薬品の在庫状況等を踏まえ後発医薬品を提供することが困難な場合の理由のうち該当するものを記載すること。なお、医療上の必要性については以下のとおりとする。①　長期収載品と後発医薬品で薬事上承認された効能・効果に差異がある場合であって、当該患者の疾病に対する治療において長期収載品を処方等する医療上の必要があると歯科医師が判断する場合。②　当該患者が後発医薬品を使用した際に、副作用や、他の医薬品との飲み合わせによる相互作用、先発医薬品との間で治療効果に差異があったと歯科医師が判断する場合であって、安全性の観点等から長期収載品の処方等をする医療上の必要があると判断する場合。③　学会が作成しているガイドラインにおいて、長期収載品を使用している患者について後発医薬品へ切り替えないことが推奨されており、それを踏まえ、歯科医師が長期収載品を処方等する医療上の必要があると判断する場合。④　後発品の剤形では飲みにくい、吸湿性により一包化ができないなど、剤形上の違いにより、長期収載品を処方等する医療上の必要があると判断する場合。ただし、単に剤形の好みによって長期収載品を選択することは含まれない。,820101320,長期収載品と後発医薬品で薬事上承認された効能・効果に差異があるため,,
190,,プログラム医療機器の評価療養に関する取扱いイリョウキキヒョウカリョウヨウカントリアツカ,「器評」と記載し、当該プログラム医療機器名を他の特定保険医療材料と区別して記載すること。,820000095,（器評）キヒョウ,,
191,,プログラム医療機器の選定療養に関する取扱いイリョウキキセンテイリョウヨウカントリアツカ,「器選」と記載し、当該プログラム医療機器名を他の特定保険医療材料と区別して記載すること。,820101253,（器選）ウツワセン,,
